,기준연도,학교종류,지역,학교,온라인,구분,입학금,수업료,등록금,인문사회,자연과학,예체능,공학,의학
15,2021,대학교,충북,건국대학교(글로컬) _분교,off,사립,334000.0,7985994.5,7985994.5,6737710.0,7958000.0,9007938.6,8982000.0,0.0
16,2021,대학교,충남,건양대학교,off,사립,126000.0,6363413.5,6363413.5,5845398.5,7104421.1,6680000.0,7240000.0,0.0
17,2021,대학교,대전,건양대학교 _제2캠퍼스,off,사립,126000.0,7200354.0,7200354.0,5710000.0,7068427.4,0.0,7240000.0,9540000.0
18,2021,사이버대학(대학),대전,건양사이버대학교,on,사립,166000.0,2437647.1,2437647.1,2437647.1,0.0,0.0,0.0,0.0
19,2021,대학교,경기,경기대학교,off,사립,143000.0,7305505.8,7305505.8,6444222.3,7897293.7,7976174.3,8326000.0,0.0
20,2021,대학교,서울,경기대학교 _제2캠퍼스,off,사립,143000.0,7047294.2,7047294.2,6464000.0,0.0,8326000.0,0.0,0.0
21,2021,대학교,경남,경남과학기술대학교 (폐교),off,국립,0.0,3785514.0,3785514.0,3443805.2,3735937.9,4102000.0,4013799.1,0.0
22,2021,대학교,경남,경남대학교,off,사립,112400.0,6500790.0,6500790.0,5674249.3,6531907.8,7467561.0,7500000.0,0.0
23,2021,대학교,강원,경동대학교,off,사립,280800.0,6577644.1,6577644.1,6274816.3,8061500.0,0.0,0.0,0.0
24,2021,대학교,강원,경동대학교 _제3캠퍼스,off,사립,280800.0,8219617.4,8219617.4,6310230.2,8442341.3,0.0,0.0,0.0
25,2021,대학교,경기,경동대학교 _제4캠퍼스,off,사립,280800.0,7461482.0,7461482.0,6548354.7,8012636.4,8376832.9,8172387.5,0.0
26,2021,대학교,대구,경북대학교,off,국립,0.0,4499643.6,4499643.6,3566206.1,4540020.8,4680687.7,4662000.0,8074942.7
27,2021,대학교,경남,경상국립대학교,off,국립,0.0,4050073.3,4050073.3,3274349.3,4024000.0,4302376.8,4330000.0,8312888.9
28,2021,대학교,부산,경성대학교,off,사립,100000.0,6553705.6,6553705.6,5444441.6,7118391.3,7365967.4,7493290.1,0.0
29,2021,대학교,경북,경운대학교,off,사립,140000.0,7671095.9,7671095.9,6060000.0,7810000.0,7991868.1,8110798.7,0.0
30,2021,교육대학,인천,경인교육대학교,off,국립,0.0,3189000.0,3189000.0,3189000.0,0.0,0.0,0.0,0.0
31,2021,대학교,경북,경일대학교,off,사립,140000.0,7376747.6,7376747.6,5842899.9,7660000.0,7913990.6,7660000.0,0.0
32,2021,대학교,경북,경주대학교,off,사립,148000.0,7004737.5,7004737.5,6028000.0,7576250.0,8073783.8,7284000.0,0.0
33,2021,대학교,서울,경희대학교,off,사립,328320.0,7935660.2,7935660.2,6357374.9,8537171.2,8458662.8,8580000.0,11312026.8
34,2021,사이버대학(대학),서울,경희사이버대학교,on,사립,166000.0,2779780.2,2779780.2,2782469.4,0.0,0.0,2560000.0,0.0
35,2021,대학교,대구,계명대학교,off,사립,140000.0,7182182.9,7182182.9,5984912.1,7882608.7,8554183.4,8204402.9,9850000.0
36,2021,대학교,서울,고려대학교,off,사립,357553.6,8268998.0,8268998.0,7153584.7,8668486.9,8928153.8,9680000.0,12414000.0
37,2021,대학교,세종,고려대학교(세종) _분교,off,사립,356000.0,8373668.5,8373668.5,7120000.0,8822531.0,8402000.0,9680000.0,0.0
38,2021,사이버대학(대학),서울,고려사이버대학교,on,사립,55000.0,2251492.9,2251492.9,2251576.7,0.0,0.0,2251330.0,0.0
39,2021,대학교,부산,고신대학교,off,사립,111715.6,6620415.0,6620415.0,5798603.4,6906359.9,7434173.1,0.0,9410000.0
40,2021,교육대학,충남,공주교육대학교,off,국립,0.0,3424000.0,3424000.0,3424000.0,3424000.0,3424000.0,0.0,0.0
41,2021,대학교,충남,공주대학교,off,국립,0.0,3823676.7,3823676.7,3198000.0,3856042.2,4180803.2,4230000.0,0.0
42,2021,대학교,광주,광신대학교,off,사립,83000.0,5977934.4,5977934.4,5621173.9,0.0,7072000.0,0.0,0.0
43,2021,대학교,서울,광운대학교,off,사립,342000.0,7830919.5,7830919.5,6829101.4,7498728.6,7506000.0,8532000.0,0.0
45,2021,대학교,광주,광주과학기술원,off,국립,0.0,2060000.0,2060000.0,0.0,2060000.0,0.0,2060000.0,0.0
46,2021,교육대학,광주,광주교육대학교,off,국립,0.0,3476500.0,3476500.0,3476397.8,3477496.5,3475331.2,0.0,0.0
47,2021,대학교,광주,광주대학교,off,사립,96000.0,6563829.7,6563829.7,6084023.9,6823863.3,6998597.7,6966000.0,0.0
48,2021,대학교,광주,광주여자대학교,off,사립,107000.0,6282267.4,6282267.4,5581331.5,6779234.6,6424000.0,0.0,0.0
49,2021,대학교,서울,국민대학교,off,사립,175000.0,7923884.8,7923884.8,6851010.1,7902228.2,8977115.1,8645855.7,0.0
50,2021,사이버대학(대학),경기,국제사이버대학교,on,사립,110000.0,2540833.3,2540833.3,2432203.4,0.0,3033846.2,0.0,0.0
51,2021,대학교,전북,군산대학교,off,국립,0.0,3934275.5,3934275.5,3318000.0,3892483.3,4163509.4,4238000.0,0.0
52,2021,대학교,충북,극동대학교,off,사립,154000.0,7467548.0,7467548.0,6433395.6,7642463.2,7914738.4,8096017.3,0.0
53,2021,사이버대학(대학),충남,글로벌사이버대학교,on,사립,166000.0,2436179.9,2436179.9,2434644.2,0.0,2432642.6,2471368.4,0.0
54,2021,대학교,충남,금강대학교,off,사립,136200.0,6564000.0,6564000.0,6564000.0,0.0,0.0,0.0,0.0
55,2021,대학교,경북,금오공과대학교,off,국립,0.0,3769117.7,3769117.7,3400400.0,3536400.0,0.0,3792400.0,0.0
56,2021,대학교,경북,김천대학교,off,사립,288000.0,7042129.0,7042129.0,6532526.6,7165910.7,7272000.0,7272000.0,0.0
57,2021,대학교,충남,나사렛대학교,off,사립,150000.0,7149194.9,7149194.9,6592170.9,8056310.7,7930933.6,0.0,0.0
58,2021,대학교,광주,남부대학교,off,사립,111200.0,6511720.0,6511720.0,5801572.5,6565861.8,7056000.0,7056000.0,0.0
59,2021,대학교,충남,남서울대학교,off,사립,120000.0,7858845.6,7858845.6,7036250.4,8847679.7,8507368.0,8300000.0,0.0
